Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.28600,0.05000,1.66785,0.00000,1.76785
0.28700,0.05000,1.66871,0.00000,1.76871
0.28800,0.05000,1.66957,0.00000,1.76957
0.28900,0.05000,1.67043,0.00000,1.77043
0.29000,0.05000,1.67129,0.00000,1.77129
0.29100,0.05000,1.67215,0.00000,1.77215
0.29200,0.05000,1.67301,0.00000,1.77301
0.29300,0.05000,1.67386,0.00000,1.77386
0.29400,0.05000,1.67472,0.00000,1.77472
0.29500,0.05000,1.67557,0.00000,1.77557
0.29600,0.05000,1.67643,0.00000,1.77643
0.29700,0.05000,1.67728,0.00000,1.77728
0.29800,0.05000,1.67813,0.00000,1.77813
0.29900,0.05000,1.67899,0.00000,1.77899
0.30000,0.05000,1.67984,0.00000,1.77984
0.30100,0.05000,1.68069,0.00000,1.78069
0.30200,0.05000,1.68154,0.00000,1.78154
0.30300,0.05000,1.68239,0.00000,1.78239
0.30400,0.05000,1.68324,0.00000,1.78324
0.30500,0.05000,1.68409,0.00000,1.78409
0.30600,0.05000,1.68494,0.00000,1.78494
0.30700,0.05000,1.68579,0.00000,1.78579
0.30800,0.05000,1.68663,0.00000,1.78663
0.30900,0.05000,1.68748,0.00000,1.78748
0.31000,0.05000,1.68833,0.00000,1.78833
0.31100,0.05000,1.68917,0.00000,1.78917
0.31200,0.05000,1.69001,0.00000,1.79001
0.31300,0.05000,1.69086,0.00000,1.79086
0.31400,0.05000,1.69170,0.00000,1.79170
0.31500,0.05000,1.69254,0.00000,1.79254
0.31600,0.05000,1.69339,0.00000,1.79339
0.31700,0.05000,1.69423,0.00000,1.79423
0.31800,0.05000,1.69507,0.00000,1.79507
0.31900,0.05000,1.69591,0.00000,1.79591
0.32000,0.05000,1.69675,0.00000,1.79675
0.32100,0.05000,1.69759,0.00000,1.79759
0.32200,0.05000,1.69842,0.00000,1.79842
0.32300,0.05000,1.69926,0.00000,1.79926
0.32400,0.05000,1.70010,0.00000,1.80010
0.32500,0.05000,1.70093,0.00000,1.80093
0.32600,0.05000,1.70177,0.00000,1.80177
0.32700,0.05000,1.70260,0.00000,1.80260
0.32800,0.05000,1.70344,0.00000,1.80344
0.32900,0.05000,1.70427,0.00000,1.80427
0.33000,0.05000,1.70510,0.00000,1.80510
0.33100,0.05000,1.70594,0.00000,1.80594
0.33200,0.05000,1.70677,0.00000,1.80677
0.33300,0.05000,1.70760,0.00000,1.80760
0.33400,0.05000,1.70843,0.00000,1.80843
0.33500,0.05000,1.70926,0.00000,1.80926
0.33600,0.05000,1.71009,0.00000,1.81009
0.33700,0.05000,1.71092,0.00000,1.81092
0.33800,0.05000,1.71174,0.00000,1.81174
0.33900,0.05000,1.71257,0.00000,1.81257
0.34000,0.05000,1.71340,0.00000,1.81340
0.34100,0.05000,1.71422,0.00000,1.81422
