Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Block0:x
8.49000,0.05000,0.82444,0.00000,0.87444
8.50000,0.05000,0.82116,0.00000,0.87116
8.51000,0.05000,0.81790,0.00000,0.86790
8.52000,0.05000,0.81466,0.00000,0.86466
8.53000,0.05000,0.81145,0.00000,0.86145
8.54000,0.05000,0.80826,0.00000,0.85826
8.55000,0.05000,0.80510,0.00000,0.85510
8.56000,0.05000,0.80196,0.00000,0.85196
8.57000,0.05000,0.79885,0.00000,0.84885
8.58000,0.05000,0.79576,0.00000,0.84576
8.59000,0.05000,0.79269,0.00000,0.84269
8.60000,0.05000,0.78965,0.00000,0.83965
8.61000,0.05000,0.78664,0.00000,0.83664
8.62000,0.05000,0.78365,0.00000,0.83365
8.63000,0.05000,0.78069,0.00000,0.83069
8.64000,0.05000,0.77776,0.00000,0.82776
8.65000,0.05000,0.77485,0.00000,0.82485
8.66000,0.05000,0.77197,0.00000,0.82197
8.67000,0.05000,0.76911,0.00000,0.81911
8.68000,0.05000,0.76629,0.00000,0.81629
8.69000,0.05000,0.76349,0.00000,0.81349
8.70000,0.05000,0.76072,0.00000,0.81072
8.71000,0.05000,0.75798,0.00000,0.80798
8.72000,0.05000,0.75527,0.00000,0.80527
8.73000,0.05000,0.75259,0.00000,0.80259
8.74000,0.05000,0.74994,0.00000,0.79994
8.75000,0.05000,0.74732,0.00000,0.79732
8.76000,0.05000,0.74472,0.00000,0.79472
8.77000,0.05000,0.74216,0.00000,0.79216
8.78000,0.05000,0.73963,0.00000,0.78963
8.79000,0.05000,0.73713,0.00000,0.78713
8.80000,0.05000,0.73466,0.00000,0.78466
8.81000,0.05000,0.73222,0.00000,0.78222
8.82000,0.05000,0.72981,0.00000,0.77981
8.83000,0.05000,0.72743,0.00000,0.77743
8.84000,0.05000,0.72509,0.00000,0.77509
8.85000,0.05000,0.72278,0.00000,0.77278
8.86000,0.05000,0.72050,0.00000,0.77050
8.87000,0.05000,0.71825,0.00000,0.76825
8.88000,0.05000,0.71604,0.00000,0.76604
8.89000,0.05000,0.71386,0.00000,0.76386
8.90000,0.05000,0.71171,0.00000,0.76171
8.91000,0.05000,0.70959,0.00000,0.75959
8.92000,0.05000,0.70751,0.00000,0.75751
8.93000,0.05000,0.70547,0.00000,0.75547
8.94000,0.05000,0.70345,0.00000,0.75345
8.95000,0.05000,0.70148,0.00000,0.75148
8.96000,0.05000,0.69953,0.00000,0.74953
8.97000,0.05000,0.69762,0.00000,0.74762
8.98000,0.05000,0.69575,0.00000,0.74575
8.99000,0.05000,0.69391,0.00000,0.74391
9.00000,0.05000,0.69211,0.00000,0.74211
9.01000,0.05000,0.69034,0.00000,0.74034
9.02000,0.05000,0.68860,0.00000,0.73860
9.03000,0.05000,0.68691,0.00000,0.73691
9.04000,0.05000,0.68525,0.00000,0.73525
9.05000,0.05000,0.68362,0.00000,0.73362
9.06000,0.05000,0.68203,0.00000,0.73203
9.07000,0.05000,0.68048,0.00000,0.73048
9.08000,0.05000,0.67896,0.00000,0.72896
9.09000,0.05000,0.67749,0.00000,0.72749
9.10000,0.05000,0.67604,0.00000,0.72604
9.11000,0.05000,0.67464,0.00000,0.72464
9.12000,0.05000,0.67327,0.00000,0.72327
9.13000,0.05000,0.67194,0.00000,0.72194
9.14000,0.05000,0.67065,0.00000,0.72065
9.15000,0.05000,0.66939,0.00000,0.71939
9.16000,0.05000,0.66817,0.00000,0.71817
9.17000,0.05000,0.66699,0.00000,0.71699
9.18000,0.05000,0.66585,0.00000,0.71585
9.19000,0.05000,0.66475,0.00000,0.71475
9.20000,0.05000,0.66368,0.00000,0.71368
9.21000,0.05000,0.66265,0.00000,0.71265
9.22000,0.05000,0.66166,0.00000,0.71166
9.23000,0.05000,0.66071,0.00000,0.71071
9.24000,0.05000,0.65980,0.00000,0.70980
9.25000,0.05000,0.65893,0.00000,0.70893
9.26000,0.05000,0.65809,0.00000,0.70809
9.27000,0.05000,0.65729,0.00000,0.70729
9.28000,0.05000,0.65654,0.00000,0.70654
9.29000,0.05000,0.65582,0.00000,0.70582
9.30000,0.05000,0.65514,0.00000,0.70514
9.31000,0.05000,0.65450,0.00000,0.70450
9.32000,0.05000,0.65390,0.00000,0.70390
9.33000,0.05000,0.65333,0.00000,0.70333
9.34000,0.05000,0.65281,0.00000,0.70281
9.35000,0.05000,0.65233,0.00000,0.70233
9.36000,0.05000,0.65188,0.00000,0.70188
9.37000,0.05000,0.65148,0.00000,0.70148
9.38000,0.05000,0.65111,0.00000,0.70111
9.39000,0.05000,0.65079,0.00000,0.70079
9.40000,0.05000,0.65050,0.00000,0.70050
9.41000,0.05000,0.65026,0.00000,0.70026
9.42000,0.05000,0.65005,0.00000,0.70005
9.43000,0.05000,0.64988,0.00000,0.69988
9.44000,0.05000,0.64975,0.00000,0.69975
9.45000,0.05000,0.64967,0.00000,0.69967
9.46000,0.05000,0.64962,0.00000,0.69962
9.47000,0.05000,0.64961,0.00000,0.69961
9.48000,0.05000,0.64964,0.00000,0.69964
9.49000,0.05000,0.64971,0.00000,0.69971
9.50000,0.05000,0.64982,0.00000,0.69982
9.51000,0.05000,0.64997,0.00000,0.69997
9.52000,0.05000,0.65016,0.00000,0.70016
9.53000,0.05000,0.65039,0.00000,0.70039
9.54000,0.05000,0.65065,0.00000,0.70065
9.55000,0.05000,0.65096,0.00000,0.70096
9.56000,0.05000,0.65131,0.00000,0.70131
9.57000,0.05000,0.65170,0.00000,0.70170
9.58000,0.05000,0.65212,0.00000,0.70212
9.59000,0.05000,0.65259,0.00000,0.70259
9.60000,0.05000,0.65309,0.00000,0.70309
9.61000,0.05000,0.65364,0.00000,0.70364
9.62000,0.05000,0.65422,0.00000,0.70422
9.63000,0.05000,0.65484,0.00000,0.70484
9.64000,0.05000,0.65551,0.00000,0.70551
9.65000,0.05000,0.65621,0.00000,0.70621
9.66000,0.05000,0.65695,0.00000,0.70695
9.67000,0.05000,0.65772,0.00000,0.70772
9.68000,0.05000,0.65854,0.00000,0.70854
9.69000,0.05000,0.65940,0.00000,0.70940
9.70000,0.05000,0.66029,0.00000,0.71029
9.71000,0.05000,0.66123,0.00000,0.71123
9.72000,0.05000,0.66220,0.00000,0.71220
9.73000,0.05000,0.66321,0.00000,0.71321
9.74000,0.05000,0.66426,0.00000,0.71426
9.75000,0.05000,0.66535,0.00000,0.71535
9.76000,0.05000,0.66647,0.00000,0.71647
9.77000,0.05000,0.66763,0.00000,0.71763
9.78000,0.05000,0.66884,0.00000,0.71884
9.79000,0.05000,0.67007,0.00000,0.72007
9.80000,0.05000,0.67135,0.00000,0.72135
9.81000,0.05000,0.67266,0.00000,0.72266
9.82000,0.05000,0.67402,0.00000,0.72402
9.83000,0.05000,0.67540,0.00000,0.72540
9.84000,0.05000,0.67683,0.00000,0.72683
9.85000,0.05000,0.67829,0.00000,0.72829
9.86000,0.05000,0.67979,0.00000,0.72979
9.87000,0.05000,0.68133,0.00000,0.73133
9.88000,0.05000,0.68290,0.00000,0.73290
9.89000,0.05000,0.68451,0.00000,0.73451
9.90000,0.05000,0.68615,0.00000,0.73615
9.91000,0.05000,0.68783,0.00000,0.73783
9.92000,0.05000,0.68955,0.00000,0.73955
9.93000,0.05000,0.69130,0.00000,0.74130
9.94000,0.05000,0.69309,0.00000,0.74309
9.95000,0.05000,0.69491,0.00000,0.74491
9.96000,0.05000,0.69677,0.00000,0.74677
9.97000,0.05000,0.69867,0.00000,0.74867
9.98000,0.05000,0.70059,0.00000,0.75059
9.99000,0.05000,0.70256,0.00000,0.75256
10.00000,0.05000,0.70455,0.00000,0.75455
10.01000,0.05000,0.70659,0.00000,0.75659
10.02000,0.05000,0.70865,0.00000,0.75865
10.03000,0.05000,0.71075,0.00000,0.76075
10.04000,0.05000,0.71288,0.00000,0.76288
10.05000,0.05000,0.71505,0.00000,0.76505
10.06000,0.05000,0.71725,0.00000,0.76725
10.07000,0.05000,0.71948,0.00000,0.76948
10.08000,0.05000,0.72175,0.00000,0.77175
10.09000,0.05000,0.72404,0.00000,0.77404
10.10000,0.05000,0.72637,0.00000,0.77637
10.11000,0.05000,0.72874,0.00000,0.77874
10.12000,0.05000,0.73113,0.00000,0.78113
10.13000,0.05000,0.73355,0.00000,0.78355
10.14000,0.05000,0.73601,0.00000,0.78601
10.15000,0.05000,0.73850,0.00000,0.78850
10.16000,0.05000,0.74102,0.00000,0.79102
10.17000,0.05000,0.74357,0.00000,0.79357
10.18000,0.05000,0.74615,0.00000,0.79615
10.19000,0.05000,0.74876,0.00000,0.79876
10.20000,0.05000,0.75140,0.00000,0.80140
10.21000,0.05000,0.75406,0.00000,0.80406
10.22000,0.05000,0.75676,0.00000,0.80676
10.23000,0.05000,0.75949,0.00000,0.80949
10.24000,0.05000,0.76225,0.00000,0.81225
10.25000,0.05000,0.76503,0.00000,0.81503
10.26000,0.05000,0.76784,0.00000,0.81784
10.27000,0.05000,0.77068,0.00000,0.82068
10.28000,0.05000,0.77355,0.00000,0.82355
10.29000,0.05000,0.77645,0.00000,0.82645
10.30000,0.05000,0.77937,0.00000,0.82937
10.31000,0.05000,0.78232,0.00000,0.83232
10.32000,0.05000,0.78530,0.00000,0.83530
10.33000,0.05000,0.78830,0.00000,0.83830
10.34000,0.05000,0.79133,0.00000,0.84133
10.35000,0.05000,0.79438,0.00000,0.84438
10.36000,0.05000,0.79746,0.00000,0.84746
10.37000,0.05000,0.80056,0.00000,0.85056
10.38000,0.05000,0.80369,0.00000,0.85369
10.39000,0.05000,0.80685,0.00000,0.85685
10.40000,0.05000,0.81002,0.00000,0.86002
10.41000,0.05000,0.81323,0.00000,0.86323
10.42000,0.05000,0.81645,0.00000,0.86645
10.43000,0.05000,0.81970,0.00000,0.86970
10.44000,0.05000,0.82297,0.00000,0.87297
10.45000,0.05000,0.82626,0.00000,0.87626
10.46000,0.05000,0.82958,0.00000,0.87958
10.47000,0.05000,0.83291,0.00000,0.88291
10.48000,0.05000,0.83627,0.00000,0.88627
10.49000,0.05000,0.83965,0.00000,0.88965
10.50000,0.05000,0.84305,0.00000,0.89305
10.51000,0.05000,0.84647,0.00000,0.89647
10.52000,0.05000,0.84991,0.00000,0.89991
10.53000,0.05000,0.85338,0.00000,0.90338
10.54000,0.05000,0.85686,0.00000,0.90686
10.55000,0.05000,0.86036,0.00000,0.91036
10.56000,0.05000,0.86387,0.00000,0.91387
